year,island,population,survival,depth_mean
2019,Santa.Cruz,DP,survived,4.890987654320988
2019,Santa.Cruz,EG,all,4.5301
2019,Santa.Cruz,EG,survived,4.84241935483871
2019,Santa.Cruz,EG2,all,4.8918
2019,Santa.Cruz,EG2,survived,5.005079365079365
2019,Santa.Cruz,ITC,all,4.2493
2019,Santa.Cruz,ITC,survived,4.268494623655914
2019,Santa.Cruz,ITC2,all,4.3181
2019,Santa.Cruz,ITC2,survived,4.362727272727272
2019,Santa.Cruz,MGN,all,4.292061855670103
2019,Santa.Cruz,MGN,survived,4.324835164835164
2019,Santa.Cruz,TB,all,4.6873
2019,Santa.Cruz,TB,survived,4.7290909090909095
