island,population,year,spine_position_mean_0,spine_position_mean_1,spine_position_var_0,spine_position_var_1,spine_position_se_0,spine_position_se_1,spine_position_n_0,spine_position_n_1,S_spine_position
Floreana,CC,2018,44.4,0,37.38775510204081,0,0.8647283400240888,0,50,0,44.4
Floreana,CD,2017,43.333333333333336,35.154639175257735,133.33333333333334,87.73625429553265,6.666666666666668,0.9510507173459543,3,97,8.1786941580756
Floreana,CD,2018,45.416666666666664,40,29.609929078014183,0,0.7854129630064868,0,48,2,5.416666666666664
Floreana,CD,2019,41.74603174603175,38.37837837837838,66.25704045058883,52.852852852852855,1.0255237953218108,1.1951801046325767,63,37,3.367653367653368
Floreana,CM,2017,31.875,32.142857142857146,42.916666666666664,43.545611015490536,1.637770333919462,0.720000091067211,16,84,-0.2678571428571459
Floreana,CM,2018,48,0,20.408163265306122,0,0.6388765649999399,0,50,0,48
Floreana,CM,2019,42.121212121212125,30,59.74025974025974,0,0.7768120538929161,0,99,1,12.121212121212125
Floreana,PN,2017,41.76470588235294,31.11111111111111,111.94295900178253,84.44444444444444,1.8145081897419648,1.531560972454469,34,36,10.653594771241831
Floreana,PN,2018,45.714285714285715,41.333333333333336,66.38655462184875,12.380952380952381,1.3772286315210676,0.9085135251589959,35,15,4.38095238095238
Floreana,PN,2019,42.365591397849464,38,59.560542309490415,70,0.8002724153759924,3.7416573867739413,93,5,4.365591397849464
Floreana,POB,2017,40.8974358974359,30,127.75557775557776,133.33333333333334,1.279801555909121,2.461829819586655,78,22,10.897435897435898
Floreana,WC,2017,40,32.05882352941177,103.2258064516129,58.384547848990344,1.796053020267749,0.9266047117821692,32,68,7.941176470588232
Floreana,WC,2018,46.75675675675676,42.30769230769231,22.52252252252252,19.23076923076923,0.7802030664724674,1.2162606385262997,37,13,4.449064449064451
Floreana,WC,2019,43.72093023255814,37.857142857142854,77.75649794801642,33.51648351648352,0.9508655661958398,1.547266795640519,86,14,5.863787375415285
Floreana,WC2,2018,43.97849462365591,40,26.390836839644695,0,0.5327029558168084,0,93,7,3.9784946236559122
Floreana,WC2,2019,41.01010101010101,0,76.52030509173366,0,0.8791657265066561,0,99,0,41.01010101010101
Isabela,AP,2017,38.47826086956522,35.09090909090909,150.96618357487924,62.49158249158249,1.8115942028985508,1.0659317946079128,46,55,3.387351778656125
Isabela,AP,2018,45.319148936170215,42.35294117647059,29.78723404255319,48.84135472370767,0.7960973163348812,1.1985451318370224,47,34,2.9662077596996284
Isabela,AP,2019,40.13333333333333,37.61904761904762,60.792792792792795,39.04761904761905,0.9003169278485051,1.3636020060263194,75,21,2.5142857142857125
Isabela,ECR,2017,33.191489361702125,27.547169811320753,135.24514338575392,80.40638606676343,1.696336123016333,1.2317067929914152,47,53,5.644319550381372
Isabela,ECR,2018,45.68181818181818,36.964285714285715,66.9661733615222,46.98051948051948,1.2336768156568159,0.9159355042067205,44,56,8.717532467532465
Isabela,ECR,2019,39.056603773584904,34.46808510638298,58.70827285921626,42.64569842738205,1.052474827012336,0.9525519858196612,53,47,4.5885186672019245
Isabela,RSA,2017,36.32183908045977,30,90.96498262496658,83.33333333333333,1.0225333798613374,2.5318484177091665,87,13,6.3218390804597675
Isabela,RSA,2018,40.79545454545455,38.333333333333336,25.796760710553816,15.151515151515152,0.541428673118145,1.1236664374387368,88,12,2.462121212121211
Isabela,RSA,2019,36.86868686868687,30,58.46217274788703,0,0.7684575443402221,0,99,1,6.868686868686872
Isabela,RTP,2017,33.53846153846154,28.285714285714285,185.72115384615384,185.21008403361344,1.6903397648727485,2.300373162483572,65,35,5.252747252747255
Isabela,RTP,2018,46.36363636363637,45.15151515151515,33.76623376623377,34.59207459207459,1.238882079762267,0.7239629426318452,22,66,1.2121212121212182
Isabela,RTP,2019,43.53658536585366,40,74.9924721469437,85.71428571428571,0.9563170725525142,3.2732683535398857,82,8,3.536585365853661
Isabela,RVS,2017,34.84848484848485,29.705882352941178,93.05361305361305,142.33511586452764,1.1873934596775602,2.04605154802903,66,34,5.142602495543674
Isabela,RVS,2018,46.388888888888886,46.15384615384615,29.029733959311425,25.641025641025642,0.6349730304783668,1.4044168141158107,72,13,0.23504273504273243
Isabela,RVS,2019,45.625,38.57142857142857,52.76898734177215,80.95238095238095,0.812165218272829,3.4006802040680233,80,7,7.053571428571431
Isabela,TP,2017,38.59154929577465,34.48275862068966,92.27364185110665,61.330049261083744,1.1400126132926296,1.454245262968031,71,29,4.10879067508499
Isabela,TP,2018,46.22641509433962,38.93617021276596,47.02467343976778,57.53931544865865,0.9419437294390683,1.106454135618273,53,47,7.290244881573663
Isabela,TP,2019,42.23684210526316,40,68.26315789473684,72.72727272727273,0.9477338476510055,1.7782168978975486,76,23,2.2368421052631575
San.Cristobal,LB2,2017,38.83720930232558,31.05263157894737,58.13953488372093,102.44360902255639,1.1627906976744187,1.3406178794277437,43,57,7.784577723378213
San.Cristobal,LB2,2018,40,41.6,50,30.666666666666668,1.4142135623730951,1.1075498483890767,25,25,-1.6000000000000014
San.Cristobal,LB2,2019,46.07843137254902,44.21052631578947,28.313725490196077,36.8421052631579,0.7450980392156862,1.392500690033995,51,19,1.8679050567595468
San.Cristobal,ORO,2018,41,0,45.91836734693877,0,0.9583148474999098,0,50,0,41
San.Cristobal,ORO,2019,45.51282051282051,44.76190476190476,25.058275058275058,26.19047619047619,0.5667979681019966,1.1167656571008167,78,21,0.7509157509157518
San.Cristobal,PK,2018,43.734939759036145,42.35294117647059,31.00205700852189,19.11764705882353,0.611161810929657,1.0604562574894087,83,17,1.3819985825655579
San.Cristobal,PK,2019,44.26829268292683,44.666666666666664,44.519722975007525,40.95238095238095,0.7368333942722234,1.6523191974188067,82,15,-0.39837398373983746
San.Cristobal,USFQ,2017,36.26865671641791,33.03030303030303,63.13885119855269,40.53030303030303,0.9707579066951936,1.1082377907824086,67,33,3.238353686114877
San.Cristobal,USFQ,2018,48.679245283018865,46.666666666666664,27.06821480406386,36.36363636363637,0.714647489353276,0.8989331499509895,53,45,2.012578616352201
San.Cristobal,USFQ,2019,45.43478260869565,43.75,33.87482083134257,55.357142857142854,0.6067986274323004,2.6305214040457563,92,8,1.6847826086956488
Santa.Cruz,AB,2017,33.529411764705884,32.65060240963855,49.26470588235294,48.986188657067295,1.7023289562926802,0.7682415271651564,17,83,0.8788093550673324
Santa.Cruz,AB,2018,36.25,40,55.357142857142854,39.56043956043956,2.6305214040457563,0.6557474954819613,8,92,-3.75
Santa.Cruz,AB,2019,46.111111111111114,46.666666666666664,32.550860719874805,30.76923076923077,0.6723803148338291,1.0675210253672476,72,27,-0.55555555555555
Santa.Cruz,DP,2017,36.951219512195124,34.44444444444444,85.6519120746763,49.673202614379086,1.0220252017958307,1.6612111146586712,82,18,2.506775067750681
Santa.Cruz,DP,2018,45.88235294117647,42.27272727272727,31.016042780748663,33.21678321678322,0.9551107539835161,0.7094255381600559,34,66,3.6096256684491976
Santa.Cruz,DP,2019,46.79012345679013,46.8421052631579,32.0679012345679,45.02923976608187,0.6292058607813336,1.5394674363845826,81,19,-0.05198180636777039
Santa.Cruz,EG,2017,33.27272727272727,27.555555555555557,59.46127946127946,87.07070707070707,1.0397664026228501,1.3910084836446068,55,45,5.717171717171716
Santa.Cruz,EG,2018,41.42857142857143,40.23255813953488,13.186813186813186,39.945280437756495,0.9705231721239392,0.6815276994298851,14,86,1.19601328903655
Santa.Cruz,EG,2019,47.096774193548384,46.31578947368421,40.613432046536225,40.11379800853485,0.8093549008866839,1.0274367442244297,62,38,0.780984719864172
Santa.Cruz,EG2,2017,34.411764705882355,32.878787878787875,61.76470588235294,48.50815850815851,1.3478163808693646,0.8573051373976842,34,66,1.5329768270944797
Santa.Cruz,EG2,2018,36.76470588235294,36.96969696969697,40.73083778966132,42.98368298368298,1.0945162480945543,0.8070117248189128,34,66,-0.20499108734402682
Santa.Cruz,EG2,2019,45.3968253968254,44.054054054054056,34.92063492063492,24.774774774774773,0.744510438067211,0.8182838794858086,63,37,1.3427713427713428
Santa.Cruz,ITC,2018,44.59183673469388,35,35.398695560698506,50,0.6010084684850964,5,98,2,9.591836734693878
Santa.Cruz,ITC,2019,40.32258064516129,42.857142857142854,50.981767180925665,90.47619047619048,0.7403992469986649,3.595159254890833,93,7,-2.534562211981566
Santa.Cruz,ITC2,2017,35.28735632183908,27.692307692307693,108.92809409248864,52.56410256410256,1.118949086658706,2.010818864276682,87,13,7.595048629531384
Santa.Cruz,ITC2,2018,42.5974025974026,40.869565217391305,48.42788790157211,53.75494071146245,0.7930533456907713,1.5287809965070132,77,23,1.7278373800112945
Santa.Cruz,ITC2,2019,42.87356321839081,47.5,48.623362737236036,20.454545454545453,0.747588942444163,1.3055824196677337,87,12,-4.626436781609193
Santa.Cruz,MGN,2017,36.89655172413793,33.23943661971831,79.3103448275862,82.21327967806842,1.6537350080388689,1.0760731929532084,29,71,3.657115104419617
Santa.Cruz,MGN,2018,47.027027027027025,43.46153846153846,26.65679378008145,31.53846153846154,0.6001890893494096,1.101370851021258,74,26,3.5654885654885646
Santa.Cruz,MGN,2019,45.38461538461539,41.666666666666664,40.68376068376068,56.666666666666664,0.6686361441233486,3.073181485764296,91,6,3.7179487179487225
Santa.Cruz,TB,2017,33.72093023255814,30.892857142857142,85.8250276854928,70.09740259740259,1.4127741774278044,1.1188115713096976,43,56,2.8280730897009967
Santa.Cruz,TB,2018,44,37.2093023255814,71.11111111111111,32.120383036935706,2.6666666666666665,0.6111405943077913,10,86,6.7906976744186025
Santa.Cruz,TB,2019,48.29545454545455,45.833333333333336,83.2680250783699,62.878787878787875,0.9727422874064583,2.2890825651118374,88,12,2.462121212121211
